ma_xa;ten_xa;loai;ma_huyen;ten_huyen;dan_so;Income(mil. VND);pop_serve(after);pop_serve_air(after);%serve;LOS;;Income;;;;dan_so (person);Income (Mil. VND);LOS;;;;;;;;;;;;;;;;;;;;;;
22528;Ninh Hiệp;Phường;572;Ninh Hòa;24858;89,3736666666667;21638;22564;87,0%;B;;low-income;;;;24858;89,3736666666667;B;;;;;;;;;;;;;;;;;;;;;;
22597;Ninh Hưng;Xã;572;Ninh Hòa;5791;149,8946;948;1014;16,4%;F;;higher-middle income;;;;5791;149,8946;F;;;;;;;;;;;;;;;;;;;;;;
22603;Ninh Ích;Xã;572;Ninh Hòa;6271;74,797;1433;1639;22,9%;F;;low-income;;;;6271;74,797;F;;;;;;;;;;;;;;;;;;;;;;
22600;Ninh Lộc;Xã;572;Ninh Hòa;6258;117,322333333333;2234;2547;35,7%;F;;higher-middle income;;;;6258;117,322333333333;F;;;;;;;;;;;;;;;;;;;;;;
22582;Ninh Phú;Xã;572;Ninh Hòa;5448;98,343125;138;154;2,5%;F;;lower-middle income;;;;5448;98,343125;F;;;;;;;;;;;;;;;;;;;;;;
22573;Ninh Phụng;Xã;572;Ninh Hòa;13035;98,343125;8558;9235;65,7%;D;;lower-middle income;;;;13035;98,343125;D;;;;;;;;;;;;;;;;;;;;;;
22588;Ninh Quang;Xã;572;Ninh Hòa;13348;98,343125;3037;3163;22,8%;F;;lower-middle income;;;;13348;98,343125;F;;;;;;;;;;;;;;;;;;;;;;
22552;Ninh Sim;Xã;572;Ninh Hòa;11645;43,1713333333333;7249;8026;62,2%;D;;low-income;;;;11645;43,1713333333333;D;;;;;;;;;;;;;;;;;;;;;;
22531;Ninh Sơn;Xã;572;Ninh Hòa;6581;98,343125;0;0;0,0%;F;;lower-middle income;;;;6581;98,343125;F;;;;;;;;;;;;;;;;;;;;;;
22585;Ninh Tân;Xã;572;Ninh Hòa;3656;98,343125;1777;1984;48,6%;F;;lower-middle income;;;;3656;98,343125;F;;;;;;;;;;;;;;;;;;;;;;
22534;Ninh Tây;Xã;572;Ninh Hòa;5767;98,343125;1958;2259;34,0%;F;;lower-middle income;;;;5767;98,343125;F;;;;;;;;;;;;;;;;;;;;;;
22558;Ninh Thân;Xã;572;Ninh Hòa;7723;98,343125;1399;1486;18,1%;F;;lower-middle income;;;;7723;98,343125;F;;;;;;;;;;;;;;;;;;;;;;
22546;Ninh Thọ;Xã;572;Ninh Hòa;8137;98,343125;2334;2692;28,7%;F;;lower-middle income;;;;8137;98,343125;F;;;;;;;;;;;;;;;;;;;;;;
22567;Ninh Thủy;Phường;572;Ninh Hòa;10700;98,343125;5852;6172;54,7%;E;;lower-middle income;;;;10700;98,343125;E;;;;;;;;;;;;;;;;;;;;;;
22537;Ninh Thượng;Xã;572;Ninh Hòa;6380;98,343125;2694;2712;42,2%;F;;lower-middle income;;;;6380;98,343125;F;;;;;;;;;;;;;;;;;;;;;;
22549;Ninh Trung;Xã;572;Ninh Hòa;5905;98,343125;883;1032;15,0%;F;;lower-middle income;;;;5905;98,343125;F;;;;;;;;;;;;;;;;;;;;;;
22555;Ninh Xuân;Xã;572;Ninh Hòa;14109;98,343125;7586;8222;53,8%;E;;lower-middle income;;;;14109;98,343125;E;;;;;;;;;;;;;;;;;;;;;;
22606;Ninh Phước;Xã;572;Ninh Hòa;9456;98,343125;976;1009;10,3%;F;;lower-middle income;;;;9456;98,343125;F;;;;;;;;;;;;;;;;;;;;;;
22636;Cầu Bà;Xã;573;Khánh Vĩnh;1989;35,6118571428571;1301;1379;65,4%;D;;low-income;;;;1989;35,6118571428571;D;;;;;;;;;;;;;;;;;;;;;;
22633;Giang Ly;Xã;573;Khánh Vĩnh;991;35,6118571428571;160;195;16,1%;F;;low-income;;;;991;35,6118571428571;F;;;;;;;;;;;;;;;;;;;;;;
22615;Khánh Bình;Xã;573;Khánh Vĩnh;5872;35,6118571428571;3560;4020;60,6%;D;;low-income;;;;5872;35,6118571428571;D;;;;;;;;;;;;;;;;;;;;;;
22621;Khánh Đông;Xã;573;Khánh Vĩnh;3436;35,6118571428571;1191;1513;34,7%;F;;low-income;;;;3436;35,6118571428571;F;;;;;;;;;;;;;;;;;;;;;;
22612;Khánh Hiệp;Xã;573;Khánh Vĩnh;4659;35,6118571428571;0;0;0,0%;F;;low-income;;;;4659;35,6118571428571;F;;;;;;;;;;;;;;;;;;;;;;
22627;Khánh Nam;Xã;573;Khánh Vĩnh;2479;35,6118571428571;42;50;1,7%;F;;low-income;;;;2479;35,6118571428571;F;;;;;;;;;;;;;;;;;;;;;;
22645;Khánh Phú;Xã;573;Khánh Vĩnh;3065;35,6118571428571;0;0;0,0%;F;;low-income;;;;3065;35,6118571428571;F;;;;;;;;;;;;;;;;;;;;;;
22642;Khánh Thành;Xã;573;Khánh Vĩnh;1548;32,312;126;138;8,1%;F;;low-income;;;;1548;32,312;F;;;;;;;;;;;;;;;;;;;;;;
22624;Khánh Thượng;Xã;573;Khánh Vĩnh;1859;35,6118571428571;31;33;1,7%;F;;low-income;;;;1859;35,6118571428571;F;;;;;;;;;;;;;;;;;;;;;;
22618;Khánh Trung;Xã;573;Khánh Vĩnh;3060;35,6118571428571;0;0;0,0%;F;;low-income;;;;3060;35,6118571428571;F;;;;;;;;;;;;;;;;;;;;;;
22609;Khánh Vĩnh;Thị trấn;573;Khánh Vĩnh;7515;38,08675;2511;2519;33,4%;F;;low-income;;;;7515;38,08675;F;;;;;;;;;;;;;;;;;;;;;;
22639;Liên Sang;Xã;573;Khánh Vĩnh;1636;35,6118571428571;1257;1332;76,8%;C;;low-income;;;;1636;35,6118571428571;C;;;;;;;;;;;;;;;;;;;;;;
